accountID,Home Address,Company Name,Company Address
A1055520767041040,"['No. 95', 'Lakshya Society', 'Nongpoh', 'Meghalaya']",KANVISTA DRUGS PRIVATE LIMITED,"G-16, SAI REGENCY, AMRAVATI ROAD, RAVINAGAR NAGPUR Nagpur MH IN 440033"
A308032038695848,"['No. 58', 'Gokul Bunglow', 'Colvale', 'Goa']",CASTLE STUDIO PRIVATE LIMITED,"B-18, RIDDHI SIDDHI CHS, PLOT NO-53 S V PATEL NAGAR, VERSOVA, NR MTNL, ANDHERI WEST     MUMBAI Mumbai City MH IN 400053"
A844427646870152,"['No. 14', 'Kuteer Apt.', 'Seoni Malwa', 'Madhya Pradesh']",ADVAITA WELLNESS PRIVATE LIMITED,"ROOM NO.1901&1902,FLR 19, B WING,RAHEJA ATLANTIS, LOWER PAREL,GANPATRAO KADAM MARG,DELISLE ROAD,     MUMBAI Mumbai City MH IN 400013"
A914801008996066,"['No. 98', 'Nikunj Apt.', 'Neelankarai', 'Tamil Nadu']",PRATEEK EXPLOSIONPROOF PRIVATE LIMITED,"139/147 KAMLESH HOUSE ,PERIN,NARIMAN STREET,FORT     MUMBAI   MH IN 400001"
A914800421140041,"['No. 52', 'Pavitra Society', 'Pipili', 'Orissa']",NIKESHA CORPORATE SERVICES PRIVATE LIMITED,"SHOP NO.7, LUCKY TOWER, BEHIND PATEL NAGAR, M.G. ROAD,     KANDIVALI WEST Mumbai City MH IN 400067"
A1899946529994950,"['No. 59', 'Arpan Society', 'Tenu Dam-cum- Kathhara', 'Jharkhand']",DADAKRUPA TUFF GLASS PRIVATE LIMITED,"PLOT NO. 18 B & C, MOHITE INDUSTRIAL ESTATE WANADONGARI, HINGNA M.I.D.C.     NAGPUR   MH IN 440016"
A844428126687330,"['No. 96', 'Santushti Apt.', 'Bhadra', 'Rajasthan']",VENUS ENGINEERING & CATALYST SERVICES PRIVATE LIMITED,"G-204, Chnadresh Palace, S.T. Stand Road, Nalasopara (W), Thane     Mumbai   MH IN 401203"
A985156882685620,"['No. 46', 'Darpan Apt.', 'Arumuganeri', 'Tamil Nadu']",R3 EXPORTS & MARKETING PRIVATE LIMITED,ANKUR CHS LTD FLAT B 10 WING-B GANDHI NAGAR POWAI OPP IIT GATE     MUMBAI Mumbai City MH IN 400076
A1055521400590810,"['No. 83', 'Rachna Apt.', 'Bilsi', 'Uttar Pradesh']",SANJUKTA ADVISORY AND FINANCIAL SERVICES  PRIVATE LIMITED,"Regus,Level 2,Raheja Centre,Point 294,CST Rd,Nr Mu m University,off Bandra-kurla complex,santacruz(E)     Mumbai Mumbai City MH IN 400098"
A985156778944975,"['No. 65', 'Darpan Bunglow', 'Srikantabati', 'West Bengal']",DICKENSON INVESTOR RELATIONS EVENTS PRIVATE LIMITED,"266, DR. ANNIE BESANT ROAD, WORLI,     MUMBAI Mumbai City MH IN 400025"
